,year,month,day,time_cat,time_num,time_cos,time_sin,day_cat,day_num,day_cos,day_sin,weekend,location_start,location_end
0,2017,3,22,16.833333333333332:49.999999999999886,0.7465277777777776,-0.021814885034562612,-0.999762027079909,Wednesday,0.3923611111111111,-0.7798844830928817,0.6259234721840592,0,eyckx6,eycs8b
1,2017,5,24,12.333333333333334:20.0,0.5381944444444444,-0.9713420698132615,-0.2376858923261727,Wednesday,0.3625992063492064,-0.6499219074072089,0.7600009962310414,0,u0qjdq,u0qjf9
2,2017,5,24,12.35:21.0,0.5395833333333333,-0.9692309097067545,-0.24615329302899255,Wednesday,0.36279761904761904,-0.6508688678101704,0.7591901717722029,0,u0qjdq,u0qjf9
3,2017,5,24,12.35:21.0,0.5395833333333333,-0.9692309097067545,-0.24615329302899255,Wednesday,0.36279761904761904,-0.6508688678101704,0.7591901717722029,0,u0qjdq,u0qjf9
4,2017,5,24,12.35:21.0,0.5395833333333333,-0.9692309097067545,-0.24615329302899255,Wednesday,0.36279761904761904,-0.6508688678101704,0.7591901717722029,0,u0qjdq,u0qjf9
5,2017,5,24,12.35:21.0,0.5395833333333333,-0.9692309097067545,-0.24615329302899255,Wednesday,0.36279761904761904,-0.6508688678101704,0.7591901717722029,0,u0qjdq,u0qjf9
6,2017,5,24,12.35:21.0,0.5395833333333333,-0.9692309097067545,-0.24615329302899255,Wednesday,0.36279761904761904,-0.6508688678101704,0.7591901717722029,0,u0qjdq,u0qjf9
7,2017,5,24,12.366666666666667:22.0,0.5409722222222222,-0.9670459389139432,-0.25460194820552745,Wednesday,0.36299603174603173,-0.6518148166520635,0.7583781674025412,0,u0qjdq,u0qjf9
8,2017,5,24,12.366666666666667:22.0,0.5409722222222222,-0.9670459389139432,-0.25460194820552745,Wednesday,0.36299603174603173,-0.6518148166520635,0.7583781674025412,0,u0qjdq,u0qjf9
9,2017,5,24,12.366666666666667:22.0,0.5409722222222222,-0.9670459389139432,-0.25460194820552745,Wednesday,0.36299603174603173,-0.6518148166520635,0.7583781674025412,0,u0qjdq,u0qjf9
10,2017,5,24,12.383333333333333:23.0,0.5423611111111111,-0.964787323828813,-0.26303121445797456,Wednesday,0.36319444444444443,-0.6527597524627221,0.7575649843840498,0,u0qjdq,u0qjf9
11,2017,5,24,12.383333333333333:23.0,0.5423611111111111,-0.964787323828813,-0.26303121445797456,Wednesday,0.36319444444444443,-0.6527597524627221,0.7575649843840498,0,u0qjdq,u0qjf9
12,2017,5,24,12.383333333333333:23.0,0.5423611111111111,-0.964787323828813,-0.26303121445797456,Wednesday,0.36319444444444443,-0.6527597524627221,0.7575649843840498,0,u0qjdq,u0qjf9
13,2017,5,24,12.383333333333333:23.0,0.5423611111111111,-0.964787323828813,-0.26303121445797456,Wednesday,0.36319444444444443,-0.6527597524627221,0.7575649843840498,0,u0qjdq,u0qjf9
14,2017,5,24,12.383333333333333:23.0,0.5423611111111111,-0.964787323828813,-0.26303121445797456,Wednesday,0.36319444444444443,-0.6527597524627221,0.7575649843840498,0,u0qjdq,u0qjf9
15,2017,5,24,12.383333333333333:23.0,0.5423611111111111,-0.964787323828813,-0.26303121445797456,Wednesday,0.36319444444444443,-0.6527597524627221,0.7575649843840498,0,u0qjdq,u0qjf9
16,2017,5,24,12.4:24.0,0.54375,-0.9624552364536474,-0.27144044986507393,Wednesday,0.3633928571428572,-0.653703673773556,0.7567506239805529,0,u0qjdq,u0qjf9
17,2017,5,24,12.4:24.0,0.54375,-0.9624552364536474,-0.27144044986507393,Wednesday,0.3633928571428572,-0.653703673773556,0.7567506239805529,0,u0qjdq,u0qjf9
18,2017,5,24,12.4:24.0,0.54375,-0.9624552364536474,-0.27144044986507393,Wednesday,0.3633928571428572,-0.653703673773556,0.7567506239805529,0,u0qjdq,u0qjf9
19,2017,5,24,12.4:24.0,0.54375,-0.9624552364536474,-0.27144044986507393,Wednesday,0.3633928571428572,-0.653703673773556,0.7567506239805529,0,u0qjdq,u0qjf9
20,2017,5,24,12.416666666666666:25.0,0.5451388888888888,-0.9600498543859288,-0.27982901403099164,Wednesday,0.3635912698412698,-0.6546465791175493,0.7559350874577064,0,u0qjdq,u0qjf9
21,2017,5,24,12.416666666666666:25.0,0.5451388888888888,-0.9600498543859288,-0.27982901403099164,Wednesday,0.3635912698412698,-0.6546465791175493,0.7559350874577064,0,u0qjdq,u0qjf9
22,2017,5,24,12.416666666666666:25.0,0.5451388888888888,-0.9600498543859288,-0.27982901403099164,Wednesday,0.3635912698412698,-0.6546465791175493,0.7559350874577064,0,u0qjdq,u0qjf9
23,2017,5,24,12.416666666666666:25.0,0.5451388888888888,-0.9600498543859288,-0.27982901403099164,Wednesday,0.3635912698412698,-0.6546465791175493,0.7559350874577064,0,u0qjdq,u0qjf9
24,2017,5,24,12.433333333333334:26.0,0.5465277777777777,-0.9575713608048146,-0.28819626813408883,Wednesday,0.3637896825396825,-0.6555884670292675,0.755118376082992,0,u0qjdq,u0qjf9
25,2017,5,24,12.433333333333334:26.0,0.5465277777777777,-0.9575713608048146,-0.28819626813408883,Wednesday,0.3637896825396825,-0.6555884670292675,0.755118376082992,0,u0qjdq,u0qjf9
26,2017,5,24,12.45:27.0,0.5479166666666667,-0.9550199444571865,-0.2965415749755712,Wednesday,0.3639880952380952,-0.6565293360448562,0.7543004911257186,0,u0qjdq,u0qjf9
27,2017,5,24,12.45:27.0,0.5479166666666667,-0.9550199444571865,-0.2965415749755712,Wednesday,0.3639880952380952,-0.6565293360448562,0.7543004911257186,0,u0qjdq,u0qjf9
